DMF_ID,High_Yield_ID,High_Yield,Simlarity
(1722, 1656, 66.0, array([[-0.04194844]]))
(1722, 1680, 72.0, array([[-0.08273938]]))
(1722, 1683, 52.0, array([[0.02587514]]))
(1722, 1692, 66.0, array([[-0.06174199]]))
(1722, 1776, 62.0, array([[-0.03715779]]))
(1722, 1779, 51.0, array([[0.05072933]]))
(1723, 132, 54.0, array([[-0.18848528]]))
(1723, 216, 61.0, array([[-0.21302603]]))
(1723, 240, 54.0, array([[-0.13813633]]))
(1723, 254, 73.0, array([[-0.25392263]]))
(1723, 255, 75.0, array([[-0.25332144]]))
(1723, 336, 65.0, array([[-0.23013314]]))
(1723, 338, 54.0, array([[-0.18783411]]))
(1723, 339, 60.0, array([[-0.2084891]]))
(1723, 341, 60.0, array([[-0.19555609]]))
(1723, 345, 54.0, array([[-0.19074931]]))
(1723, 348, 70.0, array([[-0.25046787]]))
(1723, 357, 53.0, array([[-0.17906563]]))
(1723, 960, 60.0, array([[-0.21761505]]))
(1723, 1080, 73.0, array([[-0.25151611]]))
(1723, 1092, 57.0, array([[-0.20717588]]))
(1723, 1176, 52.0, array([[-0.18206762]]))
(1723, 1200, 75.0, array([[-0.25809117]]))
(1723, 1203, 66.0, array([[-0.23599237]]))
(1723, 1296, 80.0, array([[-0.27978167]]))
(1723, 1299, 74.0, array([[-0.26186482]]))
(1723, 1308, 68.6, array([[-0.25397305]]))
(1723, 1320, 61.0, array([[-0.23423693]]))
(1723, 1440, 70.0, array([[-0.23851817]]))
(1723, 1443, 67.0, array([[-0.23337021]]))
(1723, 1452, 59.0, array([[-0.21997269]]))
(1723, 1560, 56.0, array([[-0.24845237]]))
(1723, 1572, 73.0, array([[-0.27313312]]))
(1723, 1656, 66.0, array([[-0.23323363]]))
(1723, 1680, 72.0, array([[-0.25060961]]))
(1723, 1683, 52.0, array([[-0.18223507]]))
(1723, 1692, 66.0, array([[-0.23120989]]))
(1723, 1776, 62.0, array([[-0.22760264]]))
(1723, 1779, 51.0, array([[-0.15747303]]))
(1724, 132, 54.0, array([[-0.1917263]]))
(1724, 216, 61.0, array([[-0.2134782]]))
(1724, 240, 54.0, array([[-0.18336989]]))
(1724, 254, 73.0, array([[-0.28909917]]))
(1724, 255, 75.0, array([[-0.29200203]]))
(1724, 336, 65.0, array([[-0.24878297]]))
(1724, 338, 54.0, array([[-0.17696593]]))
(1724, 339, 60.0, array([[-0.21866054]]))
(1724, 341, 60.0, array([[-0.19796935]]))
(1724, 345, 54.0, array([[-0.18854638]]))
(1724, 348, 70.0, array([[-0.28140558]]))
(1724, 357, 53.0, array([[-0.18789058]]))
(1724, 960, 60.0, array([[-0.21557436]]))
(1724, 1080, 73.0, array([[-0.28612165]]))
(1724, 1092, 57.0, array([[-0.2141354]]))
(1724, 1176, 52.0, array([[-0.18716161]]))
(1724, 1200, 75.0, array([[-0.28996247]]))
(1724, 1203, 66.0, array([[-0.25780769]]))
(1724, 1296, 80.0, array([[-0.31948663]]))
(1724, 1299, 74.0, array([[-0.30200133]]))
(1724, 1308, 68.6, array([[-0.28290918]]))
(1724, 1320, 61.0, array([[-0.28065068]]))
(1724, 1440, 70.0, array([[-0.26609625]]))
(1724, 1443, 67.0, array([[-0.26512604]]))
(1724, 1452, 59.0, array([[-0.22025987]]))
(1724, 1560, 56.0, array([[-0.25493235]]))
(1724, 1572, 73.0, array([[-0.26710212]]))
(1724, 1656, 66.0, array([[-0.24072589]]))
(1724, 1680, 72.0, array([[-0.28023225]]))
(1724, 1683, 52.0, array([[-0.18322282]]))
(1724, 1692, 66.0, array([[-0.26098052]]))
(1724, 1776, 62.0, array([[-0.24103697]]))
(1724, 1779, 51.0, array([[-0.15580031]]))
(1734, 132, 54.0, array([[-0.03277529]]))
(1734, 216, 61.0, array([[-0.06681441]]))
(1734, 240, 54.0, array([[-0.00937445]]))
(1734, 254, 73.0, array([[-0.14759933]]))
(1734, 255, 75.0, array([[-0.14958742]]))
(1734, 336, 65.0, array([[-0.10691055]]))
(1734, 338, 54.0, array([[-0.02889167]]))
(1734, 339, 60.0, array([[-0.06743286]]))
(1734, 341, 60.0, array([[-0.05016287]]))
(1734, 345, 54.0, array([[-0.03036267]]))
(1734, 348, 70.0, array([[-0.13959953]]))
(1734, 357, 53.0, array([[-0.02289868]]))
(1734, 960, 60.0, array([[-0.0695175]]))
(1734, 1080, 73.0, array([[-0.14037688]]))
(1734, 1092, 57.0, array([[-0.06090222]]))
(1734, 1176, 52.0, array([[-0.02629616]]))
(1734, 1200, 75.0, array([[-0.15024163]]))
(1734, 1203, 66.0, array([[-0.11523894]]))
(1734, 1296, 80.0, array([[-0.18421008]]))
(1734, 1299, 74.0, array([[-0.16112485]]))
(1734, 1308, 68.6, array([[-0.13746541]]))
(1734, 1320, 61.0, array([[-0.13487675]]))
(1734, 1440, 70.0, array([[-0.12205164]]))
(1734, 1443, 67.0, array([[-0.11613729]]))
(1734, 1452, 59.0, array([[-0.07961917]]))
(1734, 1560, 56.0, array([[-0.10705602]]))
(1734, 1572, 73.0, array([[-0.13788139]]))
(1734, 1656, 66.0, array([[-0.09610788]]))
(1734, 1680, 72.0, array([[-0.13909156]]))
(1734, 1683, 52.0, array([[-0.01802426]]))
(1734, 1692, 66.0, array([[-0.11449811]]))
(1734, 1776, 62.0, array([[-0.09430009]]))
(1734, 1779, 51.0, array([[0.00738382]]))
(1735, 132, 54.0, array([[-0.27862734]]))
(1735, 216, 61.0, array([[-0.30419419]]))
(1735, 240, 54.0, array([[-0.2206095]]))
(1735, 254, 73.0, array([[-0.33202685]]))
(1735, 255, 75.0, array([[-0.3288819]]))
(1735, 336, 65.0, array([[-0.31709336]]))
(1735, 338, 54.0, array([[-0.2855441]]))
(1735, 339, 60.0, array([[-0.29731717]]))
(1735, 341, 60.0, array([[-0.28708107]]))
(1735, 345, 54.0, array([[-0.28337133]]))
(1735, 348, 70.0, array([[-0.33060033]]))
(1735, 357, 53.0, array([[-0.26917731]]))
(1735, 960, 60.0, array([[-0.31114897]]))
(1735, 1080, 73.0, array([[-0.33003925]]))
(1735, 1092, 57.0, array([[-0.29715774]]))
(1735, 1176, 52.0, array([[-0.27204295]]))
(1735, 1200, 75.0, array([[-0.33506936]]))
(1735, 1203, 66.0, array([[-0.32094237]]))
(1735, 1296, 80.0, array([[-0.3538629]]))
(1735, 1299, 74.0, array([[-0.33796776]]))
(1735, 1308, 68.6, array([[-0.33023965]]))
(1735, 1320, 61.0, array([[-0.32238996]]))
(1735, 1440, 70.0, array([[-0.31921457]]))
(1735, 1443, 67.0, array([[-0.3141685]]))
(1735, 1452, 59.0, array([[-0.31274501]]))
(1735, 1560, 56.0, array([[-0.3351659]]))
(1735, 1572, 73.0, array([[-0.36648525]]))
(1735, 1656, 66.0, array([[-0.32083526]]))
(1735, 1680, 72.0, array([[-0.33004419]]))
(1735, 1683, 52.0, array([[-0.27289001]]))
(1735, 1692, 66.0, array([[-0.31312881]]))
